01 - Rental Details Rental ID,01 - Rental Details Local Start Time,01 - Rental Details Local End Time,01 - Rental Details Bike ID,01 - Rental Details Duration In Seconds Uncapped,03 - Rental Start Station ID,03 - Rental Start Station Name,02 - Rental End Station ID,02 - Rental End Station Name,User Type,Member Gender,05 - Member Details Member Birthday Year
22187214,2019-04-01 21:28:54,2019-04-01 22:02:00,4103,"1,986.0",35,Streeter Dr & Grand Ave,59,Wabash Ave & Roosevelt Rd,Customer,,
22187215,2019-04-01 21:29:16,2019-04-01 21:32:39,5827,203.0,419,Lake Park Ave & 53rd St,322,Kimbark Ave & 53rd St,Subscriber,Male,1997
22187216,2019-04-01 21:29:37,2019-04-01 21:39:49,6371,612.0,123,California Ave & Milwaukee Ave,511,Albany Ave & Bloomingdale Ave,Subscriber,Female,1959
22187217,2019-04-01 21:29:50,2019-04-01 21:42:00,4039,730.0,111,Sedgwick St & Huron St,113,Bissell St & Armitage Ave,Subscriber,Male,1994
22187218,2019-04-01 21:30:18,2019-04-01 21:46:51,1667,993.0,140,Dearborn Pkwy & Delaware Pl,329,Lake Shore Dr & Diversey Pkwy,Subscriber,Male,1970
22187219,2019-04-01 21:31:18,2019-04-01 21:36:20,4148,302.0,261,Hermitage Ave & Polk St,320,Loomis St & Lexington St,Subscriber,Male,1994
22187220,2019-04-01 21:31:20,2019-04-01 21:33:58,4635,158.0,483,Avondale Ave & Irving Park Rd,590,Kilbourn Ave & Irving Park Rd,Subscriber,Male,1995
22187221,2019-04-01 21:32:48,2019-04-01 21:38:38,628,350.0,340,Clark St & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1994
22187222,2019-04-01 21:33:30,2019-04-01 21:39:46,4370,376.0,320,Loomis St & Lexington St,108,Halsted St & Polk St,Subscriber,Male,1992
22187223,2019-04-01 21:33:54,2019-04-01 21:36:40,570,166.0,301,Clark St & Schiller St,180,Ritchie Ct & Banks St,Subscriber,Male,1985
22187224,2019-04-01 21:34:52,2019-04-01 21:48:17,4333,805.0,168,Michigan Ave & 14th St,41,Federal St & Polk St,Customer,,
22187225,2019-04-01 21:34:52,2019-04-01 21:38:33,952,221.0,110,Dearborn St & Erie St,176,Clark St & Elm St,Subscriber,Male,1995
22187226,2019-04-01 21:34:58,2019-04-01 21:39:14,937,256.0,127,Lincoln Ave & Fullerton Ave,340,Clark St & Wrightwood Ave,Subscriber,Male,1993
22187227,2019-04-01 21:35:03,2019-04-01 21:48:17,1477,794.0,168,Michigan Ave & 14th St,41,Federal St & Polk St,Customer,,
22187228,2019-04-01 21:35:24,2019-04-01 21:39:47,4617,263.0,24,Fairbanks Ct & Grand Ave,173,Mies van der Rohe Way & Chicago Ave,Subscriber,Female,1989
22187229,2019-04-01 21:35:44,2019-04-01 21:39:22,4872,218.0,520,Greenview Ave & Jarvis Ave,523,Eastlake Ter & Rogers Ave,Subscriber,Female,1990
22187230,2019-04-01 21:36:21,2019-04-01 21:41:50,4559,329.0,133,Kingsbury St & Kinzie St,110,Dearborn St & Erie St,Subscriber,Male,1975
22187231,2019-04-01 21:36:59,2019-04-01 22:00:55,454,"1,436.0",532,Austin Blvd & Lake St,641,Central Park Ave & Bloomingdale Ave,Subscriber,Male,1984
22187232,2019-04-01 21:37:00,2019-04-01 21:41:47,5287,287.0,108,Halsted St & Polk St,282,Halsted St & Maxwell St,Subscriber,Male,1998
22187233,2019-04-01 21:37:16,2019-04-01 21:55:00,6251,"1,064.0",258,Logan Blvd & Elston Ave,640,Bernard St & Elston Ave,Subscriber,Male,1978
22187234,2019-04-01 21:38:09,2019-04-01 21:48:02,2215,593.0,138,Clybourn Ave & Division St,627,LaSalle Dr & Huron St (*),Subscriber,Male,1991
22187235,2019-04-01 21:38:22,2019-04-01 21:43:30,2798,308.0,289,Wells St & Concord Ln,288,Larrabee St & Armitage Ave,Subscriber,Male,1989
22187236,2019-04-01 21:38:34,2019-04-01 21:48:19,2686,585.0,164,Franklin St & Lake St,176,Clark St & Elm St,Subscriber,Female,1985
22187237,2019-04-01 21:40:23,2019-04-01 21:49:20,3259,537.0,298,Lincoln Ave & Belle Plaine Ave,240,Sheridan Rd & Irving Park Rd,Subscriber,Male,1974
22187238,2019-04-01 21:41:45,2019-04-01 22:02:23,4595,"1,238.0",635,Fairbanks St & Superior St (*),346,Ada St & Washington Blvd,Subscriber,Male,1989
22187239,2019-04-01 21:42:14,2019-04-01 21:46:20,2611,246.0,56,Desplaines St & Kinzie St,212,Wells St & Hubbard St,Subscriber,Male,1980
22187240,2019-04-01 21:42:18,2019-04-01 21:49:20,1979,422.0,260,Kedzie Ave & Milwaukee Ave,499,Kosciuszko Park,Subscriber,Male,1974
22187241,2019-04-01 21:42:59,2019-04-01 21:55:34,3507,755.0,486,Oakley Ave & Irving Park Rd,344,Ravenswood Ave & Lawrence Ave,Subscriber,Female,1982
22187242,2019-04-01 21:44:11,2019-04-01 21:55:02,1796,651.0,373,Kedzie Ave & Chicago Ave,290,Kedzie Ave & Palmer Ct,Subscriber,Male,1989
22187243,2019-04-01 21:44:31,2019-04-01 21:55:02,4912,631.0,373,Kedzie Ave & Chicago Ave,290,Kedzie Ave & Palmer Ct,Subscriber,Male,1989
22187244,2019-04-01 21:44:54,2019-04-01 22:07:54,1062,"1,380.0",195,Columbus Dr & Randolph St,329,Lake Shore Dr & Diversey Pkwy,Subscriber,Male,1969
22187245,2019-04-01 21:46:04,2019-04-01 21:54:10,5897,486.0,334,Lake Shore Dr & Belmont Ave,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Female,1977
22187246,2019-04-01 21:46:47,2019-04-01 21:50:39,716,232.0,240,Sheridan Rd & Irving Park Rd,292,Southport Ave & Clark St,Subscriber,Male,1988
22187247,2019-04-01 21:47:26,2019-04-01 21:53:24,314,358.0,313,Lakeview Ave & Fullerton Pkwy,141,Clark St & Lincoln Ave,Subscriber,Male,1995
22187248,2019-04-01 21:47:35,2019-04-01 21:52:12,365,277.0,342,Wolcott Ave & Polk St,320,Loomis St & Lexington St,Subscriber,Female,1972
22187249,2019-04-01 21:48:11,2019-04-01 22:54:25,4425,"3,974.0",627,LaSalle Dr & Huron St (*),140,Dearborn Pkwy & Delaware Pl,Subscriber,Male,1991
22187250,2019-04-01 21:48:49,2019-04-01 22:18:51,2197,"1,802.0",164,Franklin St & Lake St,116,Western Ave & Winnebago Ave,Subscriber,Male,1995
22187251,2019-04-01 21:50:04,2019-04-01 21:56:26,878,382.0,241,Morgan St & Polk St,80,Aberdeen St & Monroe St,Subscriber,Male,1981
22187252,2019-04-01 21:50:48,2019-04-01 21:56:06,4684,318.0,349,Halsted St & Wrightwood Ave,288,Larrabee St & Armitage Ave,Subscriber,Male,1995
22187253,2019-04-01 21:50:51,2019-04-01 22:06:53,1233,962.0,89,Financial Pl & Ida B Wells Dr (Temp),206,Halsted St & Archer Ave,Subscriber,Male,1977
22187254,2019-04-01 21:51:05,2019-04-01 22:00:26,4559,561.0,110,Dearborn St & Erie St,56,Desplaines St & Kinzie St,Subscriber,Male,1975
22187255,2019-04-01 21:51:22,2019-04-01 21:56:59,2195,337.0,604,Sheridan Rd & Noyes St (NU),603,Chicago Ave & Sheridan Rd,Subscriber,Male,1994
22187256,2019-04-01 21:51:38,2019-04-01 21:58:39,2844,421.0,96,Desplaines St & Randolph St,654,Racine Ave & Washington Blvd (*),Subscriber,Female,1981
22187257,2019-04-01 21:52:34,2019-04-01 22:15:25,5370,"1,371.0",327,Sheffield Ave & Webster Ave,174,Canal St & Madison St,Customer,,
22187258,2019-04-01 21:53:37,2019-04-01 22:02:27,5531,530.0,660,Sheridan Rd & Columbia Ave,457,Clark St & Elmdale Ave,Subscriber,Male,1984
